subject,gpt2M_acc,gpt2M_se,gpt2M_ci_low,gpt2M_ci_high,c16_acc,c16_se,c16_ci_low,c16_ci_high,delta,delta_se,delta_ci_low,delta_ci_high
mmlu,0.22895598917533114,0.003540739,0.2220161399958964,0.23589583835476588,0.23750178037316622,0.003588063,0.2304691772809243,0.24453438346540812,0.008545791,0.005040935,-0.001334442,0.018426024640740737
mmlu_abstract_algebra,0.2,0.040201513,0.12120503528367783,0.2787949647163222,0.15,0.035887028,0.079661425,0.22033857513139685,-0.05,0.053889149223571936,-0.155622732,0.055622732
mmlu_anatomy,0.1925925925925926,0.034065421,0.12582436824594062,0.25936081693924457,0.23703703703703705,0.036737317,0.16503189603123472,0.3090421780428394,0.044444444,0.050100732,-0.05375299,0.1426418787982519
mmlu_astronomy,0.19078947368421054,0.031975658,0.12811718359197355,0.2534617637764475,0.21052631578947367,0.033176727875331574,0.1454999291538238,0.27555270242512353,0.019736842105263136,0.046077522,-0.0705751,0.11004878430724731
mmlu_business_ethics,0.3,0.046056618647183814,0.20972902745151972,0.39027097254848025,0.31,0.04648232,0.2188946530525006,0.4011053469474994,0.010000000000000009,0.065435603,-0.118253783,0.13825378250668757
mmlu_clinical_knowledge,0.2037735849056604,0.024790784501775416,0.15518364728218056,0.2523635225291402,0.23018867924528302,0.025907897,0.179409201,0.28096815760520305,0.026415094339622636,0.035858083,-0.043866749,0.096696937
mmlu_college_biology,0.2569444444444444,0.03653947,0.18532708384337926,0.3285618050455096,0.2222222222222222,0.034765901,0.15408105617786116,0.29036338826658326,-0.034722222,0.050436105330249816,-0.133576989,0.064132544
mmlu_college_chemistry,0.16,0.036845294917747094,0.087783222,0.23221677803878432,0.15,0.035887028,0.079661425,0.22033857513139687,-0.01,0.051433982399329635,-0.110810606,0.090810606
mmlu_college_computer_science,0.24,0.042923469599092816,0.15586999958577807,0.3241300004142219,0.28,0.045126086,0.1915528714685743,0.36844712853142575,0.040000000000000036,0.062279916,-0.082068634,0.16206863444452685
mmlu_college_mathematics,0.23,0.042295258,0.1471012934023965,0.31289870659760355,0.22,0.041633319989322695,0.13839869282092754,0.30160130717907246,-0.01,0.059348312715882874,-0.126322693,0.10632269292313042
mmlu_college_medicine,0.2138728323699422,0.031265112,0.15259321272895054,0.27515245201093386,0.24277456647398843,0.032692638,0.17869699587360974,0.3068521370743671,0.028901734,0.045236222,-0.059761262,0.11756472997826155
mmlu_college_physics,0.17647058823529413,0.037932812,0.10212227700326103,0.2508188994673272,0.24509803921568626,0.042801058,0.16120796480334412,0.3289881136280284,0.068627451,0.057191160269617715,-0.043467223,0.18072212510884283
mmlu_computer_security,0.28,0.045126085985421276,0.19155287146857433,0.3684471285314257,0.28,0.045126085985421276,0.19155287146857433,0.3684471285314257,0,0.063817923,-0.125083129,0.12508312872209854
mmlu_conceptual_physics,0.2680851063829787,0.028957343,0.21132871451782773,0.32484149824812975,0.25106383,0.028346964,0.1955037807839956,0.3066238787904724,-0.017021277,0.040522562,-0.096445499,0.062402946
